Treatment,RR,CI_lower,CI_upper,WEIGHT,Reference
IXE,0.936595947,0.447216613,1.425975281,4.005073087,TOFA
MIRI,0.197994222,-0.771131982,1.167120425,2.022440414,TOFA
MTX,-1.192569065,-1.669895606,-0.715242524,4.106203682,TOFA
PBO,-2.252383355,-2.665578788,-1.839187922,4.743518068,TOFA
RISAN,1.019810048,0.511817642,1.527802453,3.858325396,TOFA
SECU,0.98549776,0.501357619,1.469637901,4.048414568,TOFA
TILDRA,0.518384984,-0.142277312,1.17904728,2.96671993,TOFA
TYK2,0.385708258,-1.68743411,2.458850625,0.9454247,TOFA
USK,0.562821747,0.091956442,1.033687051,4.162549209,TOFA
ACI,-2.480489745,-3.103748075,-1.857231415,3.144763425,TILDRA
ADA,-0.139355194,-0.754642243,0.475931856,3.185505045,TILDRA
APRE,-0.760565376,-1.582471242,0.061340489,2.384701317,TILDRA
BIME,1.291285876,-1.578437381,4.161009132,0.682992688,TILDRA
BRODA,0.356787699,-0.294924217,1.008499615,3.007463807,TILDRA
CERTO,-0.16405749,-0.918155857,0.590040876,2.599130416,TILDRA
CICLO,-1.887383199,-2.685523703,-1.089242696,2.455707976,TILDRA
ETA,-0.608315008,-1.138304483,-0.078325533,3.698186648,TILDRA
FUM,-1.424919332,-2.08526066,-0.764578004,2.968161945,TILDRA
GUSEL,0.291139357,-0.326253132,0.908531846,3.174641794,TILDRA
IFX,-0.05898451,-0.828655848,0.710686828,2.546541495,TILDRA
IXE,0.418210963,-0.177380402,1.013802328,3.290846902,TILDRA
MIRI,-0.320390763,-1.354729581,0.713948056,1.894930332,TILDRA
MTX,-1.710954049,-2.305450823,-1.116457276,3.296906035,TILDRA
PBO,-2.770768339,-3.319750724,-2.221785954,3.570242058,TILDRA
RISAN,0.501425063,-0.115692023,1.11854215,3.17605855,TILDRA
SECU,0.467112776,-0.128701363,1.062926915,3.289616464,TILDRA
TOFA,-0.518384984,-1.17904728,0.142277312,2.96671993,TILDRA
TYK2,-0.132676727,-2.237093622,1.971740169,0.931374389,TILDRA
USK,0.044436763,-0.540781858,0.629655383,3.349175731,TILDRA
ACI,-2.347813019,-4.401270485,-0.294355552,0.954487751,TYK2
