Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating,Reason(s) for downgrading,Default_data
APRE:IFX,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]",Yes
APRE:IXE,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
APRE:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
APRE:NETA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
APRE:RISAN,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
APRE:SECU,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
APRE:SONELO,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
APRE:TILDRA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
APRE:USK,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
BIME:BRODA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
BIME:CERTO,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
BIME:CICLO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
BIME:DEUCRAVA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
BIME:ETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
BIME:FUM,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]",Yes
BIME:GUSEL,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
BIME:IFX,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
BIME:IXE,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
BIME:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
BIME:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
