studlab,treat1,treat2,TE,seTE,n1,n2,rob,type_outcome1,TE2,treat1_2,treat2_2,seTE2,type_outcome2,year_publication,r1,r2,z1,z2,male,sample_size,n21,n22,perc of males,age,year
128,RISAN,USK,-2.638,0.994,122.0,38.0,3.0,binary,0.133,RISAN,USK,0.624,binary,2017.0,78.0,16.0,11.0,3.0,109.0,166,122.0,38.0,0.656626506,46,2017.0
129,PBO,TYK2,-3.856,0.995,45.0,222.0,1.0,binary,0.497,PBO,TYK2,1.143,binary,2018.0,1.0,69.0,1.0,3.0,194.0,267,45.0,222.0,0.72659176,45,2018.0
130,PBO,SECU,0.564,0.104,65.0,66.0,1.0,binary,0.015,PBO,SECU,0.985,binary,2018.0,1.0,48.0,2.0,2.0,160.0,198,65.0,66.0,0.808080808,44,2018.0
131,IXE,USK,-2.59,0.5,132.0,164.0,1.0,binary,1.826,IXE,USK,1.545,binary,2017.0,99.0,70.0,2.0,0.0,202.0,302,132.0,164.0,0.668874172,43,2017.0
132,PBO,TILDRA,2.815,0.711,154.0,309.0,1.0,binary,-0.913,PBO,TILDRA,1.091,binary,2017.0,4.0,107.0,1.0,5.0,533.0,772,154.0,309.0,0.690414508,47,2017.0
133,ETA,PBO,-0.594,0.13,313.0,156.0,1.0,binary,-0.137,ETA,PBO,0.619,binary,2017.0,67.0,2.0,7.0,4.0,554.0,1090,313.0,156.0,0.508256881,45,2017.0
133,ETA,TILDRA,-3.409,0.706,313.0,307.0,1.0,binary,0.54,ETA,TILDRA,0.622,binary,2017.0,67.0,119.0,7.0,4.0,554.0,1090,313.0,307.0,0.508256881,45,2017.0
133,PBO,TILDRA,-2.097,0.345,156.0,307.0,1.0,binary,0.677,PBO,TILDRA,0.7,binary,2017.0,2.0,119.0,4.0,4.0,554.0,1090,156.0,307.0,0.508256881,45,2017.0
134,FUM,SECU,-2.868,0.574,95.0,105.0,3.0,binary,0.1,FUM,SECU,0.693,binary,2017.0,8.0,72.0,4.0,4.0,124.0,202,95.0,105.0,0.613861386,43,2017.0
135,PBO,TOFA,0.23,0.165,88.0,90.0,2.0,binary,,PBO,TOFA,,binary,2017.0,3.0,54.0,0.0,0.0,194.0,266,88.0,90.0,0.729323308,41,2017.0
136,CERTO,ETA,3.676,1.412,167.0,170.0,2.0,binary,1.404,CERTO,ETA,1.113,binary,2018.0,57.0,46.0,4.0,1.0,381.0,559,167.0,170.0,0.68157424,46,2018.0
136,CERTO,PBO,3.446,1.414,167.0,57.0,2.0,binary,-1.298,CERTO,PBO,0.653,binary,2018.0,57.0,0.0,4.0,5.0,381.0,559,167.0,57.0,0.68157424,46,2018.0
136,ETA,PBO,,,170.0,57.0,2.0,binary,-2.702,ETA,PBO,1.085,binary,2018.0,46.0,0.0,1.0,5.0,381.0,559,170.0,57.0,0.68157424,46,2018.0
138,ADA,RISAN,-3.6,0.701,304.0,301.0,1.0,binary,-0.115,ADA,RISAN,0.452,binary,2019.0,144.0,218.0,9.0,10.0,422.0,605,304.0,301.0,0.697520661,46,2019.0
139,PBO,RISAN,-0.405,0.38,100.0,407.0,1.0,binary,1.404,PBO,RISAN,0.487,binary,2019.0,2.0,298.0,8.0,8.0,356.0,507,100.0,407.0,0.702169625,49,2019.0
141,ETA,MTX,-4.028,1.413,15.0,15.0,3.0,binary,,ETA,MTX,,binary,2019.0,6.0,9.0,0.0,0.0,20.0,30,15.0,15.0,0.666666667,52,2019.0
143,PBO,SECU,3.996,1.41,49.0,48.0,3.0,binary,0.673,PBO,SECU,1.208,binary,2020.0,0.0,27.0,2.0,1.0,102.0,151,49.0,48.0,0.675496689,45.2,2020.0
144,MIRI,PBO,-2.801,1.418,153.0,52.0,1.0,binary,-0.386,MIRI,PBO,1.214,binary,2019.0,79.0,0.0,2.0,1.0,152.0,205,153.0,52.0,0.741463415,47,2019.0
145,PBO,USK,0.415,0.092,19.0,22.0,2.0,binary,,PBO,USK,,binary,2020.0,0.0,9.0,0.0,0.0,30.0,43,19.0,22.0,0.697674419,42.5,2020.0
146,MTX,PBO,-4.212,1.409,226.0,229.0,3.0,binary,-0.68,MTX,PBO,0.701,binary,2020.0,145.0,97.0,3.0,6.0,355.0,466,226.0,229.0,0.761802575,43,2020.0
