unique_id,studlab,rob,treat1,treat2,n1,n2,r1,r2,z1,z2
148,NCT02748863 ALLURE,L,SECU,PBO,143,71,98,1,1,2
149,NCT03051217,L,CERTO,PBO,53,26,40,0,.,1
149,NCT03051217,L,CERTO,PBO,48,26,26,0,.,1
149,NCT03051217,L,CERTO,CERTO,53,48,40,26,.,.
150,NCT03066609,L,SECU,PBO,272,135,210,2,9,2
150,NCT03066609,L,SECU,PBO,136,135,85,2,5,2
150,NCT03066609,L,SECU,SECU,272,136,210,85,9,5
151,"Reich ECLIPSE, 2019",L,GUSEL,SECU,534,514,369,391,.,.
152,NCT03255382,M,RISAN,FUM,60,60,50,6,1,2
153,NCT03331835,H,BRODA,FUM,105,105,69,23,3,1
154,"Van Voorhees STYLE, 2020",L,APRE,PBO,201,102,.,.,2,1
155,"Gottlieb IXORA-R, 2019",L,IXE,GUSEL,520,507,378,285,16,13
156,NCT03055494 ObePso-S,L,SECU,PBO,54,28,29,0,.,.
157,"Warren IMMerge, 2020",M,RISAN,SECU,164,163,121,107,9,6
158,"NCT03482011 OASIS-1, 2020",L,MIRI,PBO,423,107,272,7,5,2
