studlab,name,treat,r,n ,rob,z1,nz,year,funding,co_intervention,sample_size,age,male,duration_pso,weight,pasi_score,previous_topical,previous_photo,previous_systemic
,,,,,,,,,,,,,,,,,,,
139,ALLURE_2021,PBO,1,71,L,2,71,2021,1,0,214,43.5,133,17,91,20.5,,,
,,,,,,,,,,,,,,,,,,,
139,ALLURE_2021,SECU,98,143,L,1,143,2021,1,0,214,43.5,133,17,91,20.5,,,
,,,,,,,,,,,,,,,,,,,
140,Umezawa_2021,CERTO,66,101,L,2,101,2021,1,0,127,50,99,13,73,25,,,96
,,,,,,,,,,,,,,,,,,,
140,Umezawa_2021,PBO,0,26,L,1,26,2021,1,0,127,50,99,13,73,25,,,96
,,,,,,,,,,,,,,,,,,,
141,Cai_2020,SECU,295,408,L,14,408,2020,1,0,441,39.5,350,15.5,73,27,,,
,,,,,,,,,,,,,,,,,,,
141,Cai_2020,PBO,2,135,L,2,135,2020,1,0,441,39.5,350,15.5,73,27,,,
,,,,,,,,,,,,,,,,,,,
142,ECLIPSE_2019,GUSEL,369,534,L,33,534,2019,1,0,1048,46,707,18.5,,20,989,542,563
,,,,,,,,,,,,,,,,,,,
142,ECLIPSE_2019,SECU,391,514,L,37,514,2019,1,0,1048,46,707,18.5,,20,989,542,563
,,,,,,,,,,,,,,,,,,,
145,STYLE_2020,APRE,,201,L,2,201,2020,1,0,303,47,187,15,,18,,66,89
,,,,,,,,,,,,,,,,,,,
145,STYLE_2020,PBO,,102,L,1,102,2020,1,0,303,47,187,15,,18,,66,89
,,,,,,,,,,,,,,,,,,,
146,IXORA-R_2020,GUSEL,285,507,L,16,507,2020,1,0,1027,49,652,17,95,19,725,140,310
,,,,,,,,,,,,,,,,,,,
