,Treatment,OR,CI_lower,CI_upper,WEIGHT,tau2,Reference
149,sert,0.931897343,0.7855006959,1.1055784705,11.4686066942,0.0319122128,paro
150,traz,0.7436033067000001,0.569566895,0.9708181472,7.3509704019,0.0319122128,paro
151,venl,0.9991949024000001,0.8524598306000001,1.1711876821,12.3407221492,0.0319122128,paro
152,vort,1.3934308928,0.8089734732,2.4001400755,3.6045438316,0.0319122128,paro
153,agom,1.2151522312,0.9091444247,1.6241588299,6.7558094221000005,0.0319122128,fluv
154,amit,1.2490172265,0.9808101552,1.5905667613,8.1081064389,0.0319122128,fluv
155,bupr,1.378014613,0.9164053688,2.0721444222,4.8046252249,0.0319122128,fluv
156,cita,1.0698167035,0.8159408663000001,1.4026847120000001,7.2351228083,0.0319122128,fluv
157,clom,1.0059767641,0.7571796383,1.3365246484,6.8986459595,0.0319122128,fluv
158,dulo,1.1490985152,0.8467254314,1.5594516813000001,6.4187261646,0.0319122128,fluv
159,esci,1.345964,1.0269428501,1.7640894905,7.2451927717,0.0319122128,fluv
160,fluo,1.0083249381,0.8050150215,1.2629816259,8.7039615449,0.0319122128,fluv
161,miln,1.129162568,0.8461270230000001,1.5068755285000002,6.7922998881000005,0.0319122128,fluv
162,mirt,1.2828261097,0.9968012891,1.6509236551000002,7.7694724595,0.0319122128,fluv
163,nefa,1.0522104523,0.6835473677,1.6197075554,4.5438478911,0.0319122128,fluv
164,paro,1.1984683858,0.9555716627,1.5031070172,8.6538069757,0.0319122128,fluv
165,rebo,0.8477061377,0.5877257861,1.2226887312999999,5.3511917392,0.0319122128,fluv
166,sert,1.1168495044,0.8743512967,1.4266037235,8.0070324009,0.0319122128,fluv
167,traz,0.8911850546000001,0.6422140591000001,1.2366761368,5.9823503767,0.0319122128,fluv
168,venl,1.1975035018,0.9391111884000001,1.5269913239,8.0638402771,0.0319122128,fluv
169,vort,1.6699828728,0.9406064964,2.9649410313,3.4143737652,0.0319122128,fluv
170,agom,1.0761534837,0.7956972665000001,1.4554609765,6.4915799598,0.0319122128,miln
171,amit,1.1061447323,0.8549190222,1.4311953962000001,7.6078308839,0.0319122128,miln
172,bupr,1.2203863748,0.8039739469,1.8524765755,4.6962314116,0.0319122128,miln
173,cita,0.9474425860000001,0.7049128100000001,1.273416288,6.628513965,0.0319122128,miln
174,clom,0.8909051651000001,0.665322001,1.1929742471,6.7130908902,0.0319122128,miln
175,dulo,1.0176555155,0.7410366216000001,1.397532481,6.1789363112,0.0319122128,miln
176,esci,1.1920019651,0.8946265184000001,1.5882255395,6.8296689608,0.0319122128,miln
