,studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr,allstudies,studlab.orig,rob,effect_size1,outcome1_direction,treat.orig1,treat.orig2,r1,r2,n.orig1,n.orig2,year,year2,age_mean1,age_mean2
132,350,amit,paro,0.2554935123,0.3287082773,46,75,43,78,0.0,0,350,2,OR,beneficial,amit,paro,46,43,75,78,1993.0,1993.0,47.0,48.0
133,351,amit,paro,0.0425596144,0.3501035044,48,73,46,71,0.0,0,351,1,OR,beneficial,amit,paro,48,46,73,71,1996.0,1996.0,,
134,356,clom,paro,-0.055503024500000005,0.1299990974,317,506,328,513,0.0,0,356,2,OR,beneficial,clom,paro,317,328,506,513,1997.0,1997.0,42.0,43.0
135,359,fluo,paro,0.0289875369,0.2963679125,67,101,67,102,0.0,0,359,1,OR,beneficial,fluo,paro,67,67,101,102,1999.0,1999.0,41.0,41.0
136,360,paro,traz,0.5947822308,0.26988827460000003,65,116,45,109,0.0,0,360,1,OR,beneficial,paro,traz,65,45,116,109,2000.0,2000.0,39.0,39.0
137,361,amit,paro,0.2816197778,0.2695144353,54,119,42,109,0.0,0,361,1,OR,beneficial,amit,paro,54,42,119,109,2000.0,2000.0,47.0,46.0
138,364,fluo,paro,-0.4970323016,0.2723505473,35,119,50,123,0.0,0,364,2,OR,beneficial,fluo,paro,35,50,119,123,2002.0,2002.0,75.0,76.0
139,383,fluo,rebo,-0.14179791190000002,0.35010591620000003,64,89,59,79,0.0,0,383,2,OR,beneficial,fluo,rebo,64,59,89,79,1997.0,1997.0,44.0,44.0
140,389,paro,rebo,0.40293666180000004,0.2242983348,100,166,80,159,0.0,0,389,2,OR,beneficial,paro,rebo,100,80,166,159,2006.0,2006.0,45.0,42.0
141,392,cita,rebo,0.5478923242,0.21317966530000002,98,176,77,183,0.0,0,392,2,OR,beneficial,cita,rebo,98,77,176,183,2006.0,2006.0,42.0,43.0
