,studlab,treat1,treat2,OR,TE_direct,TE_adj,seTE
268,266,fluo,mirt,-0.3036824138,-0.40465380100000004,0.1009713872,0.34919994870000004
269,269,fluo,mirt,-2.8332133441,-0.40465380100000004,-2.4285595431,1.5573501104
270,270,fluo,mirt,-0.9162907319,-0.40465380100000004,-0.5116369309000001,0.6892024376
271,271,fluo,mirt,-0.16214903860000002,-0.40465380100000004,0.24250476240000002,0.258674689
272,264,paro,mirt,-0.1885183233,-0.0056734824,-0.1828448409,0.24152713790000002
273,265,paro,mirt,-0.3466246081,-0.0056734824,-0.3409511257,0.2521194431
274,268,paro,mirt,0.23197146540000002,-0.0056734824,0.2376449478,0.2940030746
275,280,paro,mirt,0.3829922523,-0.0056734824,0.3886657347,0.3364125454
276,281,paro,mirt,1.1592369105,-0.0056734824,1.1649103929,0.7094138241
277,277,fluv,mirt,0.34347343210000003,-0.1274608399,0.47093427200000004,0.2872392721
278,278,fluv,mirt,-0.6250937173000001,-0.1274608399,-0.4976328774,0.2952692369
279,267,sert,mirt,0.0262102668,0.0262102668,0.0,0.2283095131
280,258,traz,mirt,-0.40730688340000004,-0.40730688340000004,0.0,0.2864445403
281,272,venl,mirt,-0.2787434655,-0.3123137959,0.0335703304,0.2498215675
282,279,venl,mirt,-0.3440961617,-0.3123137959,-0.031782365800000004,0.2430777638
283,284,fluo,nefa,0.0953101798,-0.0327162292,0.128026409,0.6105139415
284,286,fluo,nefa,0.10845170820000001,-0.0327162292,0.1411679374,0.4658440339
285,292,fluo,nefa,-0.4054651081,-0.0327162292,-0.3727488789,0.6123724357
286,285,paro,nefa,0.088947486,0.2349439291,-0.1459964431,0.2810963684
287,293,paro,nefa,1.1856236657,0.2349439291,0.9506797366,0.7173006357
288,289,sert,nefa,-0.1541506798,-0.1541506798,0.0,0.3168087584
289,392,cita,rebo,0.5478923242,0.5478923242,0.0,0.21317966530000002
290,383,fluo,rebo,-0.14179791190000002,0.0073607495,-0.1491586614,0.35010591620000003
291,395,fluo,rebo,0.23757525240000002,0.0073607495,0.2302145029,0.43495221910000004
292,389,paro,rebo,0.40293666180000004,0.40293666180000004,-5.551115123e-17,0.2242983348
293,393,venl,rebo,-0.0436750635,-0.0436750635,0.0,0.311878197
294,59,bupr,sert,-0.0645385211,-0.0645385211,0.0,1.0165300455
295,93,cita,sert,0.6286086594,-0.1000010833,0.7286097427,0.6247221605000001
296,137,cita,sert,-1.6846613337,-0.1000010833,-1.5846602504,0.7937995677
297,405,cita,sert,-0.06982826660000001,-0.1000010833,0.0301728167,0.2157907051
298,136,esci,sert,0.0740476421,-0.090828035,0.1648756771,0.29581854500000004
299,137,esci,sert,-1.359735088,-0.090828035,-1.268907053,0.8206576197000001
300,397,amit,sert,-0.087011377,0.25242925790000004,-0.33944063490000004,0.2736636163
301,399,amit,sert,-0.11778303570000001,0.25242925790000004,-0.3702122936,0.48549213630000004
302,407,amit,sert,0.4514022033,0.25242925790000004,0.19897294540000002,0.3198424439
303,411,amit,sert,0.5349496007,0.25242925790000004,0.2825203428,0.2606624064
304,202,fluo,sert,-0.5026954977,-0.34830700330000003,-0.1543884944,0.3144241418
305,398,fluo,sert,-0.8652355611,-0.34830700330000003,-0.5169285578,0.398986002
306,402,fluo,sert,-0.3076673648,-0.34830700330000003,0.0406396385,0.2375080602
307,403,fluo,sert,-0.0206192872,-0.34830700330000003,0.3276877161,0.3163305645
308,408,fluo,sert,-0.5100089639000001,-0.34830700330000003,-0.1617019606,0.27469106660000003
309,409,fluo,sert,-0.1014466163,-0.34830700330000003,0.24686038700000001,0.2889479129
310,400,clom,sert,-0.0875110023,-0.044766923300000004,-0.042744079000000004,0.3900472326
311,412,clom,sert,-0.015209418700000001,-0.044766923300000004,0.0295575046,0.3243494027
312,202,paro,sert,-0.2972515235,-0.0915848476,-0.2056666759,0.3156299301
313,410,paro,sert,0.00896867,-0.0915848476,0.1005535176,0.2206961966
314,222,fluv,sert,0.2881760216,0.4399186101,-0.1517425885,0.40739396580000004
315,230,fluv,sert,0.6329283206,0.4399186101,0.19300971050000001,0.45946287690000004
316,246,miln,sert,0.735706795,0.735706795,0.0,0.9138626415000001
317,267,mirt,sert,-0.0262102668,-0.0262102668,0.0,0.2283095131
318,289,nefa,sert,0.1541506798,0.1541506798,0.0,0.3168087584
319,439,traz,sert,0.5806289775,0.5806289775,0.0,0.3933756707
320,413,venl,sert,-0.1967102942,0.1673047689,-0.36401506310000004,0.338979103
